ObvservationNum,Species,Coordinates,Coord_Lat,Coord_long
428, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
429, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
430, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
431, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
432, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
433, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
434, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
435, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
436, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
437, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
438, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
439, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
441, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
442, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
443, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
444, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
445, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
446, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
447, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
440, White-tailed Deer,"(36.1372409, -84.629496)",36.1372409,-84.629496
53, White-tailed Deer,"(36.183174199999996, -86.70315674429145)",36.1831742,-86.70315674
789, White-tailed Deer,"(36.189724, -86.7857862)",36.189724,-86.7857862
10, White-tailed Deer,"(36.2134603, -95.9306948)",36.2134603,-95.9306948
601, White-tailed Deer,"(36.2636501, -82.4911791)",36.2636501,-82.4911791
46, White-tailed Deer,"(36.3883031, -86.4475898)",36.3883031,-86.4475898
47, White-tailed Deer,"(36.3883031, -86.4475898)",36.3883031,-86.4475898
463, White-tailed Deer,"(36.4246282, -99.4253431)",36.4246282,-99.4253431
833, White-tailed Deer,"(36.451234, -93.963725)",36.451234,-93.963725
920, White-tailed Deer,"(36.4803824, -87.3786221)",36.4803824,-87.3786221
714, White-tailed Deer,"(36.5277607, -87.3588703)",36.5277607,-87.3588703
709, White-tailed Deer,"(36.5277607, -87.3588703)",36.5277607,-87.3588703
573, White-tailed Deer,"(36.5277607, -87.3588703)",36.5277607,-87.3588703
919, White-tailed Deer,"(36.55585505, -87.30464100682069)",36.55585505,-87.30464101
12, White-tailed Deer,"(36.5959685, -82.1885009)",36.5959685,-82.1885009
384, White-tailed Deer,"(36.833176, -87.489235)",36.833176,-87.489235
580, White-tailed Deer,"(37.0779278, -77.586655)",37.0779278,-77.586655
777, White-tailed Deer,"(37.1232245, -78.4927721)",37.1232245,-78.4927721
584, White-tailed Deer,"(37.128084, -77.579638)",37.128084,-77.579638
718, White-tailed Deer,"(37.270973, -79.9414313)",37.270973,-79.9414313
862, White-tailed Deer,"(37.270973, -79.9414313)",37.270973,-79.9414313
755, White-tailed Deer,"(37.295396, -78.401633)",37.295396,-78.401633
604, White-tailed Deer,"(37.3305534, -77.5144905)",37.3305534,-77.5144905
135, White-tailed Deer,"(37.423664, -79.480915)",37.423664,-79.480915
239, White-tailed Deer,"(37.5520825, -79.8029569)",37.5520825,-79.8029569
543, White-tailed Deer,"(37.5726028, -85.1551411)",37.5726028,-85.1551411
544, White-tailed Deer,"(37.5726028, -85.1551411)",37.5726028,-85.1551411
547, White-tailed Deer,"(37.5726028, -85.1551411)",37.5726028,-85.1551411
548, White-tailed Deer,"(37.5726028, -85.1551411)",37.5726028,-85.1551411
953, White-tailed Deer,"(37.580932250000004, -77.38251030935214)",37.58093225,-77.38251031
154, White-tailed Deer,"(37.7331055, -86.9888828)",37.7331055,-86.9888828
912, White-tailed Deer,"(37.7509507, -88.2264519)",37.7509507,-88.2264519
801, White-tailed Deer,"(37.8367513, -87.5907631)",37.8367513,-87.5907631
735, White-tailed Deer,"(37.894112449999994, -84.3934137205578)",37.89411245,-84.39341372
